
Player,Height w/o,Shoes,Height w/ Shoes,Weight,Wingspan,Standing Reach,Body Fat %,Hand Length,Hand Width
Bam Adebayo, PF-C,6.875,6.975,242.6,7.275,9.0,5.2,9.5,8.75
Rawle Alkins, SG-SF,6.25,6.3.75,222.6,6.8.75,8.3,11,8.75,10
Jarrett Allen, C,6.9,6.10.25,233.6,7.5.25,9.1.5,7.4,9.5,10.5
Kadeem Allen, SG,6.1,6.2.25,192.4,6.9.25,8.3.5,6.4,8.5,8.75
Ike Anigbogu, C,6.8.5,6.9.75,252.2,7.6.25,9.2.5,5.4,9.5,10
OG Anunoby, PF,6.6.25,6.7.75,232.4,7.2.25,8.11.5,6.8,9.25,9.5
Jamel Artis, SG-SF,6.5.5,6.6.75,213.2,6.10,8.9,11.9,9.25,9.75
Dwayne Bacon, SG-SF,6.4.75,6.6.25,221.6,6.10,8.7.5,7.9,8.75,10
VJ Beachem, SG-SF,6.6.25,6.8,193.4,6.10.25,8.8.5,6.8,8.5,9
Jordan Bell, C-PF,6.7,6.8.5,223.6,6.11.75,8.8.5,5.4,9.25,9.5
Jaron Blossomgame, SF,6.5.75,6.6.75,218.6,6.10,8.8.5,5.7,8.75,10.25
Chris Boucher, PF,6.8,6.9.5,182.2,7.4,9.2.5,5.4,9.25,10.5
Tony Bradley, C,6.9.25,6.10.75,248.8,7.5,9.4.5,12,9.5,9.5
Isaiah Briscoe, PG,6.1.25,6.2.75,222.4,6.9,8.3.5,11,9,9.25
Dillon Brooks, SF,6.5,6.6,220.2,6.6,8.4.5,7.5,8.25,9.25
Thomas Bryant, C,6.9.5,6.10.75,247.8,7.6,9.4.5,9.4,9.5,10.25
John Collins, PF,6.8.25,6.9.5,225.2,6.11.25,8.10.5,5.4,9,10
Zach Collins, PF-C,6.10.25,7.0,232.2,7.1,9.3,8.9,8.75,9.25
Hamidou Diallo, SG-SF,6.3.75,6.5,197.4,6.11.25,8.5.5,5.2,8.5,9.5
Tyler Dorsey, SG,6.3,6.4.5,182.6,6.5.25,8.3.5,4.7,8.5,9.25
Damyean Dotson, SG-SF,6.4.5,6.5.5,205.2,6.9,8.4,5.3,8.5,9.25
PJ Dozier, SG,6.5.25,6.6.75,200.6,6.11,8.5,6.1,8.5,9.5
Jawun Evans, PG,5.10.75,5.11.5,185.2,6.5.5,7.11,9.1,8,7.75
Terrance Ferguson, SG-SF,6.5.5,6.7,184.4,6.8.75,8.7,5.8,8.5,10
DeAaron Fox, PG,6.2,6.3.25,169.6,6.6.5,8.4,4.5,8.5,8.5
Harry Giles, PF,6.9.25,6.10.5,232,7.3.25,9.1.5,5.2,9.5,10.75
Josh Hart, SG-SF,6.3.75,6.5,209.2,6.8.25,8.5,5.8,8.5,9.5
Nigel Hayes, PF,6.6.25,6.7.5,254.2,7.3.25,8.8.5,11.5,8.75,10
Isaiah Hicks, PF,6.7.25,6.8.5,233.4,7.0.5,8.9,7.7,8.75,9.75
Wesley Iwundu, SG-SF,6.5.5,6.6.75,193.4,7.1,8.9.5,4,8.75,9.5
Frank Jackson, PG,6.2,6.3.5,201.6,6.7.5,8.2,6.7,8.25,9
Justin Jackson (UNC), SF,6.5.75,6.7,200.8,6.11,8.8.5,8.1,8.75,9.25
Justin Jackson MD, SF,6.7,6.8.25,219.4,7.3.25,8.11,7.1,9,9.5
Jonathan Jeanne, PF-C,7.0.75,7.2,207.4,7.6.5,9.5.5,8.7,9.5,10
Peter Jok, SG-SF,6.4.25,6.5.75,202.4,6.8,8.6,11,8.25,9.5
Andrew Jones, SG,6.3,6.4.25,185,6.6.5,8.3.5,4.9,8.5,9
Luke Kennard, SG-SF,6.4.5,6.5.5,196.2,6.5.25,8.2.5,6.6,8,8.75
