pick,year,name,university,link,g,mp,fg,fga,fg3,fg3a,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g
1,2018,Deandre Ayton,University of Arizona,/players/a/aytonde01.html,35,1172,276,451,12,35,140,191,118,405,57,20,66,69,81,704,.612,.343,.733,33.5,20.1,11.6,1.6
2,2018,Marvin Bagley,Duke University,/players/b/baglema01.html,33,1114,270,440,23,58,131,209,132,366,50,27,29,75,60,694,.614,.397,.627,33.8,21.0,11.1,1.5
4,2018,Jaren Jackson,Michigan State University,/players/j/jacksja02.html,35,764,119,232,38,96,106,133,52,203,39,21,106,62,112,382,.513,.396,.797,21.8,10.9,5.8,1.1
5,2018,Trae Young,University of Oklahoma,/players/y/youngtr01.html,32,1133,261,618,118,328,236,274,14,125,279,54,8,167,57,876,.422,.360,.861,35.4,27.4,3.9,8.7
6,2018,Mohamed Bamba,University of Texas at Austin,/players/b/bambamo01.html,30,906,146,270,14,51,81,119,96,316,15,23,111,46,76,387,.541,.275,.681,30.2,12.9,10.5,0.5
7,2018,Wendell Carter,Duke University,/players/c/cartewe01.html,37,993,179,319,19,46,124,168,109,335,74,30,76,75,105,501,.561,.413,.738,26.8,13.5,9.1,2.0
8,2018,Collin Sexton,University of Alabama,/players/s/sextoco01.html,33,987,196,438,44,131,196,252,34,124,119,28,3,92,81,632,.447,.336,.778,29.9,19.2,3.8,3.6
9,2018,Kevin Knox,University of Kentucky,/players/k/knoxke01.html,37,1198,196,440,57,167,127,164,33,200,53,31,10,85,82,576,.445,.341,.774,32.4,15.6,5.4,1.4
10,2018,Mikal Bridges,Villanova University,/players/b/bridgmi01.html,116,3171,458,873,171,428,224,265,131,504,183,163,101,124,257,1311,.525,.400,.845,27.3,11.3,4.3,1.6
11,2018,Shai Gilgeous-Alexander,University of Kentucky,/players/g/gilgesh01.html,37,1248,183,377,23,57,143,175,33,153,189,61,18,100,62,532,.485,.404,.817,33.7,14.4,4.1,5.1
12,2018,Miles Bridges,Michigan State University,/players/b/bridgmi02.html,62,1962,386,821,127,339,156,201,84,469,150,40,69,133,105,1055,.470,.375,.776,31.6,17.0,7.6,2.4
13,2018,Jerome Robinson,Boston College,/players/r/robinje01.html,90,3118,562,1249,159,423,308,408,46,343,294,117,24,259,226,1591,.450,.376,.755,34.6,17.7,3.8,3.3
14,2018,Michael Porter,University of Missouri,/players/p/portemi01.html,3,53,10,30,3,10,7,9,4,20,1,3,1,3,6,30,.333,.300,.778,17.7,10.0,6.7,0.3
15,2018,Troy Brown,University of Oregon,/players/b/browntr01.html,35,1093,143,322,32,110,78,105,53,217,111,55,7,86,78,396,.444,.291,.743,31.2,11.3,6.2,3.2
16,2018,Zhaire Smith,Texas Tech University,/players/s/smithzh01.html,37,1050,154,277,18,40,91,127,83,185,66,42,42,41,67,417,.556,.450,.717,28.4,11.3,5.0,1.8
17,2018,Donte DiVincenzo,Villanova University,/players/d/divindo01.html,85,2163,303,646,130,344,134,190,93,343,204,79,18,137,151,870,.469,.378,.705,25.4,10.2,4.0,2.4
18,2018,Lonnie Walker,University of Miami,/players/w/walkelo01.html,32,888,132,318,56,162,48,65,13,83,61,30,15,37,51,368,.415,.346,.738,27.8,11.5,2.6,1.9
19,2018,Kevin Huerter,University of Maryland,/players/h/huertke01.html,65,2072,273,586,138,350,95,127,53,324,196,52,44,126,136,779,.466,.394,.748,31.9,12.0,5.0,3.0
20,2018,Josh Okogie,Georgia Institute of Technology,/players/o/okogijo01.html,61,2014,327,748,66,173,313,403,109,351,120,90,50,138,164,1033,.437,.382,.777,33.0,16.9,5.8,2.0
21,2018,Grayson Allen,Duke University,/players/a/allengr01.html,142,3962,606,1409,291,766,493,591,76,450,432,147,14,240,297,1996,.430,.380,.834,27.9,14.1,3.2,3.0
22,2018,Chandler Hutchison,Boise State University,/players/h/hutchch01.html,123,2948,523,1098,79,224,353,514,138,672,255,120,29,236,268,1478,.476,.353,.687,24.0,12.0,5.5,2.1
23,2018,Aaron Holiday,University of California Los Angeles,/players/h/holidaa01.html,101,3209,476,1058,180,427,311,391,48,320,477,126,22,304,271,1443,.450,.422,.795,31.8,14.3,3.2,4.7
25,2018,Moritz Wagner,University of Michigan,/players/w/wagnemo01.html,107,2244,421,770,110,286,162,232,128,484,57,83,40,126,269,1114,.547,.385,.698,21.0,10.4,4.5,0.5
26,2018,Landry Shamet,Wichita State University,/players/s/shamela01.html,71,2029,296,617,159,364,163,201,39,213,288,54,14,108,146,914,.480,.437,.811,28.6,12.9,3.0,4.1
27,2018,Robert Williams,Texas A&M University,/players/w/williro04.html,61,1570,293,496,2,30,92,170,165,530,87,45,155,106,123,680,.591,.067,.541,25.7,11.1,8.7,1.4
28,2018,Jacob Evans,University of Cincinnati,/players/e/evansja02.html,105,3051,423,985,174,462,213,282,139,455,263,120,92,133,209,1233,.429,.377,.755,29.1,11.7,4.3,2.5
30,2018,Omari Spellman,Villanova University,/players/s/spellom01.html,40,1125,160,336,65,150,49,70,90,321,30,26,59,40,92,434,.476,.433,.700,28.1,10.9,8.0,0.8
32,2018,Jevon Carter,West Virginia University,/players/c/carteje01.html,144,4269,587,1441,241,678,343,430,131,538,559,330,34,264,358,1758,.407,.355,.798,29.6,12.2,3.7,3.9
33,2018,Jalen Brunson,Villanova University,/players/b/brunsja01.html,116,3349,579,1135,177,450,332,405,47,285,432,97,1,217,209,1667,.510,.393,.820,28.9,14.4,2.5,3.7
34,2018,Devonte' Graham,University of Kansas,/players/g/grahade01.html,142,4498,546,1295,296,723,362,460,62,439,632,197,14,270,237,1750,.422,.409,.787,31.7,12.3,3.1,4.5
35,2018,Melvin Frazier,Tulane University,/players/f/frazime01.html,94,2601,359,746,81,260,198,303,115,413,156,152,45,187,189,997,.481,.312,.653,27.7,10.6,4.4,1.7
37,2018,Gary Trent,Duke University,/players/t/trentga02.html,37,1249,177,427,97,241,85,97,31,157,52,43,5,38,62,536,.415,.402,.876,33.8,14.5,4.2,1.4
38,2018,Khyri Thomas,Creighton University,/players/t/thomakh01.html,102,2773,429,839,131,323,151,210,116,471,255,141,26,165,180,1140,.511,.406,.719,27.2,11.2,4.6,2.5
41,2018,Jarred Vanderbilt,University of Kentucky,/players/v/vandeja01.html,14,238,29,68,0,1,24,38,46,110,14,6,11,15,37,82,.426,.000,.632,17.0,5.9,7.9,1.0
42,2018,Bruce Brown,University of Miami,/players/b/brownbr01.html,52,1693,212,480,49,155,134,191,73,321,182,74,33,110,126,607,.442,.316,.702,32.6,11.7,6.2,3.5
43,2018,Justin Jackson,University of Maryland,/players/j/jacksju02.html,44,1240,154,368,56,145,91,125,85,288,52,38,35,86,87,455,.418,.386,.728,28.2,10.3,6.5,1.2
45,2018,Hamidou Diallo,University of Kentucky,/players/d/diallha01.html,37,918,134,313,26,77,77,125,32,134,46,28,13,51,96,371,.428,.338,.616,24.8,10.0,3.6,1.2
46,2018,De'Anthony Melton,University of Southern California,/players/m/meltode01.html,36,972,101,231,21,74,77,109,50,170,125,69,37,64,81,300,.437,.284,.706,27.0,8.3,4.7,3.5
