Player,Season,School,Conf,G,MP,FG,FGA,FGP,2P,2PA,2PP,3P,3PA,3PP,FT,FTA,FTP,TRB,AST,STL,BLK,TOV,PF,PTS,VORP
"Penny Hardaway","1991-92","Memphis","GMWC","34","1224","6.8","15.8","0.433","4.6","9.6","0.478","2.3","6.2","0.363","3.4","5.2","0.652","7.7","6.1","2.8","1.5","4.1","3.0","19.3","27.2"
"Penny Hardaway","1992-93","Memphis","GMWC","32","1196","8.3","17.5","0.477","5.9","10.1","0.583","2.4","7.4","0.332","5.3","6.9","0.767","9.1","6.8","2.5","1.3","3.6","2.9","24.4","27.2"
"Jason Kidd","1992-93","Cal","Pac-10","29","922","5.8","12.5","0.463","4.7","8.8","0.537","1.0","3.6","0.286","3.8","5.8","0.657","6.2","9.6","4.8","0.3","4.9","3.1","16.4","78.2"
"Jason Kidd","1993-94","Cal","Pac-10","30","1053","6.3","13.4","0.472","4.4","8.0","0.545","1.9","5.4","0.362","4.4","6.4","0.692","7.9","10.3","3.6","0.3","4.9","3.0","19.0","78.2"
"Chris Webber","1991-92","Michigan","Big Ten","34","1088","8.4","15.1","0.556","7.9","13.2","0.601","0.5","2.0","0.259","2.1","4.2","0.496","12.5","2.8","2.0","3.1","3.5","3.6","19.4","45.9"
"Chris Webber","1992-93","Michigan","Big Ten","36","1143","9.8","15.9","0.619","8.9","13.1","0.679","0.9","2.8","0.338","3.5","6.4","0.552","12.7","3.1","1.7","3.2","3.7","3.6","24.1","45.9"
"Jamal Mashburn","1990-91","Kentucky","SEC","28","677","8.1","17.1","0.474","6.7","12.2","0.546","1.4","4.8","0.293","3.8","5.2","0.727","11.5","2.5","2.2","0.9","3.3","5.4","21.4","12.9"
"Jamal Mashburn","1991-92","Kentucky","SEC","36","1176","9.5","16.7","0.567","7.5","12.2","0.614","2.0","4.5","0.439","5.1","7.2","0.709","9.6","1.8","2.2","0.8","2.9","4.2","26.1","12.9"
"Jamal Mashburn","1992-93","Kentucky","SEC","34","1109","9.3","19.0","0.492","7.0","12.5","0.558","2.4","6.5","0.367","4.7","7.0","0.670","10.2","4.5","1.8","0.5","3.7","3.3","25.8","12.9"
"Glenn Robinson","1992-93","Purdue","Big Ten","28","1010","9.7","20.6","0.474","8.5","17.4","0.487","1.3","3.2","0.400","6.0","8.1","0.741","10.2","1.9","2.3","1.3","4.1","3.2","26.8","10.3"
"Glenn Robinson","1993-94","Purdue","Big Ten","34","1166","12.6","26.1","0.483","9.9","19.0","0.522","2.7","7.1","0.380","7.4","9.3","0.796","11.8","2.3","1.9","1.1","4.8","3.0","35.3","10.3"
"Grant Hill","1990-91","Duke","ACC","36","887","7.2","14.0","0.516","7.2","13.9","0.516","0.0","0.1","0.500","3.7","6.0","0.609","8.3","3.6","2.3","1.4","3.3","3.6","18.1","42.5"
"Grant Hill","1991-92","Duke","ACC","33","1000","7.3","11.9","0.611","7.3","11.9","0.613","0.0","0.0","0.000","4.0","5.4","0.733","7.5","5.4","1.6","1.1","3.2","3.6","18.5","42.5"
"Grant Hill","1992-93","Duke","ACC","26","822","9.0","15.6","0.578","8.8","14.9","0.592","0.2","0.7","0.286","4.6","6.1","0.746","8.1","3.5","3.1","1.8","3.1","3.0","22.8","42.5"
"Grant Hill","1993-94","Duke","ACC","34","1213","7.2","15.6","0.462","5.9","12.3","0.481","1.3","3.3","0.390","3.8","5.4","0.703","7.7","5.8","2.1","1.3","3.4","2.8","19.5","42.5"
"Donyell Marshall","1991-92","UConn","Big East","30","806","6.2","14.6","0.424","5.5","11.6","0.472","0.7","3.1","0.242","3.4","4.6","0.742","9.1","2.2","1.5","3.9","4.2","4.6","16.6","19.1"
"Donyell Marshall","1992-93","UConn","Big East","27","854","7.8","15.6","0.500","6.8","13.0","0.525","0.9","2.5","0.370","5.0","6.0","0.829","9.8","1.4","1.8","2.6","2.8","2.9","21.5","19.1"
"Donyell Marshall","1993-94","UConn","Big East","34","1157","10.6","20.7","0.511","9.2","16.1","0.567","1.4","4.6","0.311","6.9","9.2","0.752","10.4","1.9","1.5","3.7","3.4","2.4","29.5","19.1"
"Juwan Howard","1991-92","Michigan","Big Ten","34","956","6.3","13.9","0.450","6.3","13.8","0.453","0.0","0.1","0.000","3.2","4.7","0.688","8.9","2.6","0.6","0.9","4.1","4.5","15.8","10.1"
"Juwan Howard","1992-93","Michigan","Big Ten","36","1095","7.5","14.9","0.506","7.5","14.8","0.509","0.0","0.1","0.000","4.1","5.8","0.700","9.8","2.5","0.8","0.5","3.4","3.6","19.1","10.1"
"Juwan Howard","1993-94","Michigan","Big Ten","30","1020","10.2","18.4","0.557","10.2","18.1","0.563","0.0","0.3","0.143","4.0","5.9","0.675","10.4","2.8","1.7","0.8","3.1","3.9","24.5","10.1"
"Joe Smith","1993-94","Maryland","ACC","30","988","8.3","16.0","0.522","8.3","15.8","0.523","0.1","0.2","0.400","6.8","9.3","0.734","13.0","1.0","1.8","3.8","2.4","3.6","23.6","5.9"
"Joe Smith","1994-95","Maryland","ACC","34","1110","8.8","15.3","0.578","8.5","14.5","0.586","0.3","0.8","0.429","7.5","10.2","0.741","13.0","1.4","1.8","3.5","2.6","3.7","25.5","5.9"
"Antonio McDyess","1993-94","Alabama","SEC","26","618","8.5","15.1","0.564","8.5","15.1","0.564","0.0","0.0",NULL,"2.1","3.9","0.533","13.6","0.7","1.9","2.5","3.4","4.7","19.2","16.4"
"Antonio McDyess","1994-95","Alabama","SEC","33","861","8.6","16.8","0.512","8.6","16.7","0.514","0.0","0.0","0.000","4.1","6.1","0.667","15.7","1.0","1.3","3.1","3.6","5.1","21.3","16.4"
"Jerry Stackhouse","1993-94","UNC","ACC","35","734","7.5","16.1","0.466","7.4","15.0","0.493","0.1","1.1","0.100","8.2","11.2","0.732","9.6","3.8","2.3","0.9","4.7","3.0","23.3","12.8"
"Jerry Stackhouse","1994-95","UNC","ACC","34","1170","7.4","14.2","0.517","6.1","11.1","0.546","1.3","3.1","0.411","6.3","8.9","0.712","9.6","3.2","1.7","2.0","3.8","2.5","22.3","12.8"
"Rasheed Wallace","1993-94","UNC","ACC","35","732","7.6","12.6","0.604","7.6","12.5","0.607","0.0","0.1","0.000","3.0","5.0","0.604","12.7","1.0","1.3","3.4","2.7","4.4","18.2","37.5"
"Rasheed Wallace","1994-95","UNC","ACC","34","1030","9.2","14.1","0.654","9.2","14.0","0.657","0.0","0.1","0.333","3.5","5.5","0.631","10.8","1.4","0.7","3.6","2.0","3.7","22.0","37.5"
"Allen Iverson","1994-95","Georgetown","Big East","30","966","8.4","21.5","0.390","7.0","15.3","0.455","1.4","6.3","0.232","7.1","10.4","0.688","4.1","5.5","3.7","0.2","5.5","3.2","25.4","44.1"
"Allen Iverson","1995-96","Georgetown","Big East","37","1213","10.3","21.4","0.480","7.4","13.6","0.546","2.9","7.8","0.366","7.1","10.5","0.678","4.6","5.7","4.1","0.5","4.6","2.9","30.5","44.1"
"Marcus Camby","1993-94","UMass","A-10","29","634","7.4","15.0","0.494","7.4","14.7","0.502","0.0","0.3","0.000","3.9","6.6","0.596","11.7","2.3","1.1","6.6","3.2","6.4","18.7","35.6"
"Marcus Camby","1994-95","UMass","A-10","30","679","9.8","17.8","0.550","9.7","17.7","0.548","0.1","0.1","1.000","4.9","7.6","0.643","11.0","2.2","1.4","6.1","3.2","4.4","24.5","35.6"
"Marcus Camby","1995-96","UMass","A-10","33","1011","10.1","21.2","0.477","10.1","20.9","0.484","0.0","0.3","0.000","6.4","9.2","0.700","10.7","2.3","1.3","5.1","3.3","3.4","26.7","35.6"
"Shareef Abdur-Rahim","1995-96","Cal","Pac-10","28","972","8.5","16.4","0.518","8.1","15.5","0.525","0.3","0.9","0.381","7.0","10.2","0.683","9.7","1.2","2.1","1.4","3.6","2.4","24.3","21.1"
"Stephon Marbury","1995-96","Georgia Tech","ACC","36","1345","7.0","15.3","0.457","4.4","8.2","0.533","2.6","7.1","0.370","3.6","4.9","0.738","3.4","4.8","1.9","0.1","3.4","2.4","20.2","25.6"
"Ray Allen","1993-94","UConn","Big East","34","735","8.6","16.9","0.510","6.8","12.4","0.548","1.8","4.5","0.402","4.4","5.5","0.792","8.4","2.9","2.1","0.4","2.6","2.5","23.3","58.1"
"Ray Allen","1994-95","UConn","Big East","32","1051","9.7","19.8","0.489","6.5","12.6","0.515","3.2","7.3","0.445","3.0","4.2","0.727","8.3","2.9","2.3","0.6","2.4","2.0","25.7","58.1"
"Ray Allen","1995-96","UConn","Big East","35","1098","10.6","22.5","0.472","6.4","13.5","0.477","4.2","9.0","0.466","4.3","5.4","0.810","8.3","4.3","2.2","0.7","3.0","1.7","29.8","58.1"
"Steve Nash","1992-93","Santa Clara","WCC","31","743","4.2","9.9","0.424","1.6","3.4","0.453","2.6","6.5","0.408","2.5","3.1","0.825","4.3","3.6","1.4","0.2","3.3","2.9","13.6","31.2"
"Steve Nash","1993-94","Santa Clara","WCC","26","778","6.3","15.2","0.414","2.8","6.5","0.433","3.4","8.6","0.399","3.5","4.3","0.831","3.3","4.9","1.7","0.1","3.8","2.9","19.5","31.2"
"Steve Nash","1994-95","Santa Clara","WCC","27","902","7.3","16.4","0.444","3.5","8.2","0.435","3.7","8.2","0.454","6.8","7.7","0.879","4.5","7.7","2.1","0.1","5.0","2.4","25.1","31.2"
"Steve Nash","1995-96","Santa Clara","WCC","29","979","6.7","15.6","0.430","4.1","8.1","0.510","2.6","7.5","0.344","4.1","4.6","0.894","4.2","7.1","1.6","0.0","4.2","1.8","20.1","31.2"
"Tim Duncan","1993-94","Wake Forest","ACC","33","997","4.8","8.8","0.545","4.8","8.8","0.543","0.0","0.0","1.000","3.3","4.4","0.745","12.7","1.2","0.5","5.0","1.6","3.3","13.0","89.3"
"Tim Duncan","1994-95","Wake Forest","ACC","32","1168","7.1","12.1","0.591","7.0","11.8","0.594","0.1","0.2","0.429","4.0","5.4","0.742","13.7","2.3","0.4","4.6","3.1","2.7","18.4","89.3"
"Tim Duncan","1995-96","Wake Forest","ACC","32","1190","7.7","13.8","0.555","7.4","13.0","0.570","0.2","0.8","0.304","5.0","7.3","0.687","13.3","3.1","0.7","4.0","3.5","2.5","20.6","89.3"
"Tim Duncan","1996-97","Wake Forest","ACC","31","1137","8.2","13.5","0.608","8.0","12.8","0.628","0.2","0.8","0.273","6.0","9.5","0.636","16.1","3.4","0.8","3.6","3.5","2.4","22.7","89.3"
